ticker,EJ536676@BMRK Corp
field,PX_LAST
date,
2019-04-09,101.367
2019-04-10,101.339
2019-04-11,101.41
2019-04-12,101.415
2019-04-15,101.232
2019-04-16,101.351
2019-04-17,101.559
2019-04-18,101.556
2019-04-22,101.556
2019-04-23,101.634
2019-04-24,101.64
2019-04-25,101.618
2019-04-26,101.739
2019-04-29,101.643
2019-04-30,101.748
2019-05-01,101.709
2019-05-02,101.904
2019-05-03,101.944
2019-05-06,101.95
2019-05-07,101.954
2019-05-08,101.898
2019-05-09,101.847
2019-05-10,101.785
2019-05-13,101.689
2019-05-14,102.306
2019-05-15,101.94
2019-05-16,101.931
2019-05-17,101.918
2019-05-20,102.261
2019-05-21,102.062
2019-05-22,101.772
2019-05-23,101.849
2019-05-24,102.032
2019-05-28,102.134
2019-05-29,102.107
2019-05-30,102.105
2019-05-31,102.017
2019-06-03,101.98
2019-06-04,102.077
2019-06-05,102.086
2019-06-06,102.088
2019-06-07,102.137
2019-06-10,102.275
2019-06-11,102.139
2019-06-12,101.976
2019-06-13,102.054
2019-06-14,102.07
2019-06-17,102.289
2019-06-18,102.0
2019-06-19,102.003
2019-06-20,102.064
2019-06-21,102.224
2019-06-24,102.293
2019-06-25,102.418
2019-06-26,102.361
2019-06-27,102.339
2019-06-28,102.274
2019-07-01,102.138
2019-07-02,102.33
2019-07-03,102.21
2019-07-05,102.24
2019-07-08,102.371
2019-07-09,102.309
2019-07-10,102.068
2019-07-11,102.159
2019-07-12,102.267
2019-07-15,102.261
2019-07-16,102.244
2019-07-17,102.539
2019-07-18,101.795
2019-07-19,101.8
2019-07-22,102.015
2019-07-23,102.146
2019-07-24,102.168
2019-07-25,102.156
2019-07-26,101.678
2019-07-29,102.115
2019-07-30,102.121
