date,Spread
2014-01-31,261.861
2014-02-03,254.479
2014-02-04,257.363
2014-02-05,260.667
2014-02-06,262.932
2014-02-07,259.673
2014-02-10,260.657
2014-02-11,267.425
2014-02-12,271.005
2014-02-13,270.666
2014-02-14,272.251
2014-02-17,272.251
2014-02-18,268.66
2014-02-19,268.341
2014-02-20,270.017
2014-02-21,269.049
2014-02-24,269.768
2014-02-25,265.665
2014-02-26,261.992
2014-02-27,259.31
2014-02-28,259.686
2014-03-03,255.048
2014-03-04,264.698
2014-03-05,264.908
2014-03-06,268.656
2014-03-07,273.721
2014-03-10,273.647
2014-03-11,272.234
2014-03-12,268.345
2014-03-13,259.385
2014-03-14,260.363
2014-03-17,264.135
2014-03-18,262.154
2014-03-19,271.674
2014-03-20,271.077
2014-03-21,269.187
2014-03-24,267.737
2014-03-25,269.73
2014-03-26,264.626
2014-03-27,264.556
2014-03-28,268.021
2014-03-31,268.255
2014-04-01,271.196
2014-04-02,278.421
2014-04-03,277.69
2014-04-04,269.028
2014-04-07,266.942
2014-04-08,265.039
2014-04-09,265.435
2014-04-10,261.187
2014-04-11,258.418
2014-04-14,261.176
2014-04-15,259.279
2014-04-16,259.782
2014-04-17,269.106
2014-04-18,269.105
2014-04-21,267.961
2014-04-22,268.012
2014-04-23,267.842
2014-04-24,267.037
2014-04-25,264.709
2014-04-28,268.524
2014-04-29,267.612
2014-04-30,261.549
2014-05-01,258.796
2014-05-02,256.403
2014-05-05,258.656
2014-05-06,256.61
2014-05-07,255.738
2014-05-08,258.567
2014-05-09,259.792
2014-05-12,263.574
2014-05-13,257.848
2014-05-14,251.229
2014-05-15,246.4
2014-05-16,250.283
2014-05-19,251.917
2014-05-20,247.516
2014-05-21,249.655
2014-05-22,251.441
2014-05-23,249.656
2014-05-26,249.656
2014-05-27,248.378
2014-05-28,240.76
2014-05-29,242.887
2014-05-30,244.039
2014-06-02,249.629
2014-06-03,256.303
2014-06-04,256.666
2014-06-05,254.686
2014-06-06,255.141
2014-06-09,256.766
2014-06-10,260.839
2014-06-11,259.882
2014-06-12,255.453
2014-06-13,256.779
2014-06-16,256.149
2014-06-17,261.678
2014-06-18,256.409
2014-06-19,260.536
2014-06-20,259.004
2014-06-23,261.598
2014-06-24,255.28
2014-06-25,253.386
2014-06-26,249.31
2014-06-27,250.865
2014-06-30,250.506
2014-07-01,253.935
2014-07-02,260.609
2014-07-03,262.819
2014-07-04,262.819
2014-07-07,259.584
2014-07-08,253.039
2014-07-09,252.498
2014-07-10,251.56
2014-07-11,249.575
2014-07-14,252.648
2014-07-15,252.649
2014-07-16,250.569
2014-07-17,243.064
2014-07-18,246.565
2014-07-21,244.708
2014-07-22,243.48
2014-07-23,243.512
2014-07-24,247.208
2014-07-25,243.508
2014-07-28,244.984
2014-07-29,243.98
2014-07-30,252.052
2014-07-31,253.249
2014-08-01,246.719
2014-08-04,246.14
2014-08-05,245.995
2014-08-06,244.548
2014-08-07,238.6
2014-08-08,239.493
2014-08-11,239.197
2014-08-12,241.867
2014-08-13,238.113
2014-08-14,237.109
2014-08-15,230.931
2014-08-18,236.224
2014-08-19,236.933
2014-08-20,240.101
2014-08-21,238.656
2014-08-22,237.707
2014-08-25,236.176
2014-08-26,237.086
2014-08-27,232.684
2014-08-28,230.565
2014-08-29,231.773
2014-09-01,231.773
2014-09-02,240.084
2014-09-03,237.087
2014-09-04,242.434
2014-09-05,242.825
2014-09-08,244.588
2014-09-09,248.836
2014-09-10,252.116
2014-09-11,252.933
2014-09-12,259.53
2014-09-15,257.353
2014-09-16,257.722
2014-09-17,259.95
2014-09-18,259.916
2014-09-19,255.929
2014-09-22,255.858
2014-09-23,251.224
2014-09-24,254.852
2014-09-25,249.208
2014-09-26,251.242
2014-09-29,246.693
2014-09-30,246.854
2014-10-01,237.035
2014-10-02,240.975
2014-10-03,242.384
2014-10-06,240.948
2014-10-07,232.9
2014-10-08,231.626
2014-10-09,230.317
2014-10-10,227.024
2014-10-13,227.024
2014-10-14,218.628
2014-10-15,211.556
2014-10-16,212.043
2014-10-17,216.82
2014-10-20,216.552
2014-10-21,220.649
2014-10-22,219.608
2014-10-23,226.11
2014-10-24,225.836
2014-10-27,224.526
2014-10-28,227.994
2014-10-29,230.135
2014-10-30,229.568
2014-10-31,232.516
2014-11-03,233.142
2014-11-04,230.813
2014-11-05,231.709
2014-11-06,236.026
2014-11-07,227.314
2014-11-10,233.503
2014-11-11,234.01
2014-11-12,235.598
2014-11-13,232.973
